plate,delta_x_px,delta_y_px,scatter_px,offset_arcsec,n_tiles,status
XE133,0.6487712705575177,0.9171077418582172,0.0799489370110677,1.90876178958266,4,ok
XE134,0.7399834468087647,0.8682343992850292,0.0770957028227995,1.938340742107413,4,ok
XE135,0.7636069867312472,0.9990747319593538,0.0692993783836491,2.1366006494572782,4,ok
XE136,0.7499134792778932,0.8766158412690856,0.0369970726550339,1.9601269937747603,4,ok
XE137,0.618429211667717,0.923781360490466,0.07460929410755,1.8888715635392708,4,ok
XE138,0.7898454049491193,0.9352743862227726,0.0884945803869808,2.0800109878329613,4,ok
XE139,0.8492197844170732,1.0169854248861157,0.0692237719522153,2.2512091532928906,4,ok
XE140,0.9692531653327024,0.9340894235792804,0.0508600936046989,2.287176676490997,4,ok
XE141,0.95641261147739,0.9676436692925564,0.0407483638728305,2.311712467570206,4,ok
XE142,1.037142261651752,1.0156336536388153,0.0432801989924782,2.466459717051525,4,ok
XE143,1.0231145637631016,1.0318248108924308,0.0532376003343592,2.468945823221612,4,ok
XE144,0.9464365473377256,0.9191393881324076,0.1554987684582547,2.24165132449322,4,ok
XE145,0.8375676216764987,0.9044785741634768,0.0472815089238375,2.094538897440051,4,ok
XE146,1.1542343330247604,0.9848811367237432,0.0622723873016735,2.578099481107776,4,ok
XE147,1.0318691355168994,0.9008153640143064,0.0317701235510728,2.3273718756740323,4,ok
XE148,0.839241270868115,0.9624136049264962,0.0718125275574135,2.1696656591892425,4,ok
XE149,0.9358431094688058,0.8720100457039734,0.037394164239792,2.1734134355644543,4,ok
XE150,1.2358415805892946,0.9729702620884382,0.1844863112701922,2.6725223384433474,4,ok
XE151,1.0182158783936757,0.8712929681364585,0.0969611792472079,2.277018364241043,4,ok
XE152,1.164227063328326,0.9026617870817972,0.0514189820755423,2.503086278759961,4,ok
XE153,0.912611170080254,0.911293011584803,0.0710872148292023,2.191345102811774,4,ok
XE154,0.9891606731930552,0.9865928423132572,0.0202051605620353,2.3737871539659423,4,ok
XE155,1.0326195816960535,0.9017758747440894,0.0812233680415265,2.3294057670742028,4,ok
XE156,0.9891147846710736,1.0391066415672867,0.0676787344200302,2.4375632570300536,4,ok
XE157,1.1358807263341075,0.8814618737419551,0.0614666066891783,2.442951794438321,4,ok
XE158,1.0482274138503271,0.9637677308955972,0.1396506702873713,2.4194568700537373,4,ok
XE159,-0.0030102003684078,-0.0021586433572338,0.0114871726608735,0.0062938628551009,4,ok
XE160,0.713648438774726,1.0785060985717791,0.0998831302067545,2.1973677490342225,4,ok
XE161,0.8365012135736833,0.902101546904305,0.0422561063329284,2.0903448441069026,4,ok
XE162,0.7325892809562902,1.0032033606630648,0.0449963931438274,2.110674419634728,4,ok
XE163,0.8702562092803419,1.0190914801846702,0.0699455459610443,2.2770046097991843,4,ok
XE164,0.808872578005321,1.0585788707048778,0.0579248500856118,2.263633915128756,4,ok
XE165,0.7494699144472179,0.9830929204667882,0.0452022703972789,2.100440821686953,4,ok
XE166,0.6515046467329739,0.9990709288222206,0.0691631538237562,2.026586763068003,4,ok
XE167,0.8663028885312087,0.9636625168004684,0.0445226695094096,2.2017363085922,4,ok
XE168,0.8559553616078119,0.9470483030750074,0.0517965373950839,2.168996394330938,4,ok
XE169,0.6396725827526097,0.9900181329653606,0.0496883293544042,2.0027387685469726,4,ok
XE170,0.6151155697180002,0.9940904429417968,0.1129319432127014,1.9862853780930607,4,ok
XE171,0.8030882490875229,0.9337906177524928,0.0357640255176657,2.092687400042008,4,ok
XE172,0.7187840126989613,1.022026284230833,0.0385550743362465,2.123006239535496,4,ok
XE173,0.9217292708444802,0.912341382231716,0.0642510955128228,2.203587986984352,4,ok
XE174,0.7571307187736238,0.9079643504219348,0.0772053183485263,2.0087332341475976,4,ok
XE175,-1.6896467968763318e-05,0.0030326615251397,0.0188571609183284,0.0051529309740634,4,ok
XE176,0.9125350679496478,0.9387516661940936,0.0425238752845474,2.224466537090159,4,ok
XE177,0.897850350380395,0.8886068932984017,0.0310349774795833,2.1463823330470087,4,ok
XE178,0.9201611767566646,0.9416318115086142,0.0558640155794976,2.2370150839565874,4,ok
XE179,0.7531199619461404,0.8460243275594621,0.0455147333760763,1.924544571652582,4,ok
XE180,0.725866410785784,0.8776133396554542,0.0684903488104637,1.9351214777166328,4,ok
XE181,0.9679031072600992,0.9099129153360082,0.0476940024483495,2.2571929022597663,4,ok
XE182,0.978360841979338,0.9160172959786904,0.0394607116480945,2.2772482284657505,4,ok
XE183,0.8729155174805783,0.945209301585237,0.0511676877697553,2.1861270452010424,4,ok
XE184,0.9625306765146888,0.957464049806731,0.0876686642866559,2.30680132969086,4,ok
XE185,-5.994379625917645e-05,0.0029094001474732,0.0153128267409439,0.0049444644614803,4,ok
