plate_id,ra_deg,dec_deg
XE512,289.692750,12.260806
XE513,295.699000,12.339278
XE514,301.707042,12.414028
XE515,307.716792,12.484250
XE516,313.728208,12.549194
XE517,319.741125,12.608083
XE518,325.755417,12.660333
XE519,331.770917,12.705306
XE520,337.787458,12.742556
XE521,343.804792,12.771639
XE522,349.822833,12.792250
XE523,355.841208,12.804139
XE524,1.808792,6.791056
XE525,7.867833,6.801417
XE526,13.877125,6.786833
XE527,19.886167,6.763583
XE528,25.894833,6.732000
XE529,31.903042,6.692361
XE530,37.910625,6.645139
XE531,43.917542,6.590833
XE532,49.923667,6.530056
XE533,55.929000,6.463472
XE534,61.933458,6.391806
XE535,67.936958,6.315861
XE536,73.939542,6.236444
XE537,79.941167,6.154472
XE538,85.941833,6.070778
XE539,91.941542,5.986333
XE540,97.940333,5.902028
XE541,106.990667,2.704861
XE542,109.935250,5.737611
XE543,118.989750,2.550556
XE544,121.927042,5.584639
XE545,127.921833,5.514583
XE546,133.916042,5.449861
XE547,139.909667,5.391139
XE548,145.902833,5.339083
XE549,151.895583,5.294278
XE550,157.888000,5.257194
XE551,163.880125,5.228222
XE552,169.872042,5.207694
XE553,175.863875,5.195861
XE554,181.855583,5.192806
XE555,187.847333,5.198583
XE556,193.839167,5.213139
XE557,199.831167,5.236278
XE558,205.823375,5.267806
XE559,211.815875,5.307333
XE560,217.808708,5.354444
XE561,223.802042,5.408611
XE562,229.795833,5.469278
XE563,235.790250,5.535722
XE564,241.785250,5.607278
XE565,247.781000,5.683139
XE566,253.777500,5.762472
XE567,259.774792,5.844389
XE568,265.772958,5.928056
XE569,271.772042,6.012500
XE570,277.772042,6.096806
XE571,283.773000,6.180056
XE572,289.774958,6.261333
XE573,295.777792,6.339778
XE574,304.808250,3.361472
XE575,307.786333,6.484667
XE576,313.791917,6.549528
XE577,319.798333,6.608361
XE578,325.805458,6.660528
XE579,331.813250,6.705472
XE580,337.821583,6.742639
XE581,343.830375,6.771694
XE582,349.839542,6.792278
XE583,355.848917,6.804139
XE584,1.857000,0.807222
XE585,7.857583,0.801444
XE586,13.858125,0.786861
XE587,19.858625,0.763667
XE588,25.859042,0.732111
XE589,31.859375,0.692528
XE590,37.859583,0.645361
XE591,43.859667,0.591139
XE592,49.859625,0.530417
XE593,55.859500,0.463889
XE594,61.859208,0.392278
XE595,67.858875,0.316389
XE596,73.858417,0.237000
XE597,79.857875,0.155056
XE598,85.857292,0.071389
XE599,91.856708,-0.013056
XE600,97.856125,-0.097361
XE601,103.855542,-0.180611
XE602,109.855042,-0.261861
XE603,115.854625,-0.340250
XE604,121.854292,-0.414917
XE605,127.854083,-0.485028
XE606,133.853958,-0.549833
XE607,139.854000,-0.608611
XE608,145.854125,-0.660722
XE609,151.854417,-0.705583
XE610,157.854750,-0.742722
XE611,163.855250,-0.771750
XE612,169.855792,-0.792278
XE613,175.856375,-0.804139
XE614,181.856958,-0.807194
XE615,187.857542,-0.801417
XE616,193.858125,-0.786861
XE617,199.858625,-0.763667
XE618,205.859083,-0.732083
XE619,211.859417,-0.692528
XE620,217.859667,-0.645361
XE621,223.859750,-0.591111
XE622,229.859750,-0.530389
XE623,235.859625,-0.463861
XE624,241.859375,-0.392278
XE625,247.859000,-0.316361
XE626,253.858542,-0.237000
XE627,259.858042,-0.155028
XE628,265.857500,-0.071361
XE629,271.856875,0.013083
XE630,277.856292,0.097389
XE631,283.855708,0.180611
XE632,289.855250,0.261889
XE633,295.854792,0.340278
XE634,301.854458,0.414917
XE635,307.854208,0.485056
XE636,313.854125,0.549833
XE637,319.854125,0.608639
XE638,325.854292,0.660750
XE639,331.854542,0.705611
XE640,337.854875,0.742750
XE641,343.855333,0.771750
XE642,349.855875,0.792306
XE643,355.856417,0.804167
